Id,Article ,ProductName,Price,Quantity ,Description ,Manufacturer ,Colour,Hashtags
1117,100538,Мобильный телефон Nokia N8,"5 709,0",2,"«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ",Nokia,оранжевый,#Nokia #оранжевый #Премиум
1118,100538,Мобильный телефон Nokia N8,"8 250,0",13,"«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ",Nokia,розовый,#Nokia #розовый #Премиум
1119,100538,Мобильный телефон Nokia N8,"5 709,0",15,"«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ",Nokia,серебристый,#Nokia #серебристый #Премиум
1120,100538,Мобильный телефон Nokia N8,"5 709,0",7,"«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ",Nokia,черный,#Nokia #черный #Премиум
1121,100538,Мобильный телефон Nokia N8,"5 709,0",13,"«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ",Nokia,синий,#Nokia #синий #Премиум
1122,1156981,Мобильный телефон LG Q6 32GB Duos,"16828,9",5,Вес (г): 149; Размеры (мм): 142.5x69.3x8.1; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K); Камера (основная): 13,LG,пурпурный,#LG #пурпурный #Премиум
1123,1156981,Мобильный телефон LG Q6 32GB Duos,"17 380,0",9,Вес (г): 149; Размеры (мм): 142.5x69.3x8.1; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K); Камера (основная): 13,LG,золотистый,#LG #золотистый #Премиум
1124,1156981,Мобильный телефон LG Q6 32GB Duos,"16 828,9",4,Вес (г): 149; Размеры (мм): 142.5x69.3x8.1; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K); Камера (основная): 13,LG,черный,#LG #черный #Премиум
1125,310322,Мобильный телефон Samsung Galaxy Note 3 LTE,"10241,0",8,"В полном соответствии с названием, данный аппарат является вариацией третьего Note, дополненной поддержкой сетей LTE (4G). Интересно, что это не единственное отличие от «оригинала»: 4G-модель имеет процессор «всего» с 4 ядрами, а вот его тактовая частота выросла до 2,3 ГГц. Остальные характеристики, действительно, практически идентичны. К примеру, характерный для семейства внушительный 5,7"" дисплей имеет разрешение Full HD и матрицу типа Super AMOLED. Оперативной памяти установлено 3 ГБ, встроенной может быть до 64 ГБ. Мощная 13-Мп камера способна снимать видео в разрешении 4К. Ещё одна особенность — ИК-порт для применения в роли пульта ДУ. ",Samsung,пурпурный,#Samsung #пурпурный #Премиум
1126,310322,Мобильный телефон Samsung Galaxy Note 3 LTE,"10 538,0",9,"В полном соответствии с названием, данный аппарат является вариацией третьего Note, дополненной поддержкой сетей LTE (4G). Интересно, что это не единственное отличие от «оригинала»: 4G-модель имеет процессор «всего» с 4 ядрами, а вот его тактовая частота выросла до 2,3 ГГц. Остальные характеристики, действительно, практически идентичны. К примеру, характерный для семейства внушительный 5,7"" дисплей имеет разрешение Full HD и матрицу типа Super AMOLED. Оперативной памяти установлено 3 ГБ, встроенной может быть до 64 ГБ. Мощная 13-Мп камера способна снимать видео в разрешении 4К. Ещё одна особенность — ИК-порт для применения в роли пульта ДУ. ",Samsung,черный,#Samsung #черный #Премиум
1127,310322,Мобильный телефон Samsung Galaxy Note 3 LTE,"10 538,0",7,"В полном соответствии с названием, данный аппарат является вариацией третьего Note, дополненной поддержкой сетей LTE (4G). Интересно, что это не единственное отличие от «оригинала»: 4G-модель имеет процессор «всего» с 4 ядрами, а вот его тактовая частота выросла до 2,3 ГГц. Остальные характеристики, действительно, практически идентичны. К примеру, характерный для семейства внушительный 5,7"" дисплей имеет разрешение Full HD и матрицу типа Super AMOLED. Оперативной памяти установлено 3 ГБ, встроенной может быть до 64 ГБ. Мощная 13-Мп камера способна снимать видео в разрешении 4К. Ещё одна особенность — ИК-порт для применения в роли пульта ДУ. ",Samsung,белый,#Samsung #белый #Премиум
1128,1058879,Мобильный телефон Asus Zenfone Live 32GB ZB501KL,"8668,0",13,Вес (г): 120; Размеры (мм): 141.2x71.7x8; Емкость (мАч): 2650; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13; Слот для карт,Asus,пурпурный,#Asus #пурпурный #Премиум
1129,1058879,Мобильный телефон Asus Zenfone Live 32GB ZB501KL,"9 790,0",2,Вес (г): 120; Размеры (мм): 141.2x71.7x8; Емкость (мАч): 2650; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13; Слот для карт,Asus,золотистый,#Asus #золотистый #Премиум
1130,1058879,Мобильный телефон Asus Zenfone Live 32GB ZB501KL,"8 456,8",14,Вес (г): 120; Размеры (мм): 141.2x71.7x8; Емкость (мАч): 2650; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13; Слот для карт,Asus,розовый,#Asus #розовый #Премиум
1131,1058879,Мобильный телефон Asus Zenfone Live 32GB ZB501KL,"8 668,0",12,Вес (г): 120; Размеры (мм): 141.2x71.7x8; Емкость (мАч): 2650; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13; Слот для карт,Asus,черный,#Asus #черный #Премиум
1132,985188,Мобильный телефон Philips Xenium E570,"4851,0",2,"Вес (г): 156; Размеры (мм): 133.5x58.6x15.7; Емкость (мАч): 3160; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Bluetooth; EDGE; GPRS; Вспышка; Камера (основная): 2; Слот для карт; Процессор (ГГц): 1.5; разрешение (пикс): 320x240; Основной дисплей: дисплей (""): 2.8; Корпус: моноблок ",Philips,пурпурный,#Philips #пурпурный #Премиум
1133,985188,Мобильный телефон Philips Xenium E570,"4 851,0",2,"Вес (г): 156; Размеры (мм): 133.5x58.6x15.7; Емкость (мАч): 3160; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Bluetooth; EDGE; GPRS; Вспышка; Камера (основная): 2; Слот для карт; Процессор (ГГц): 1.5; разрешение (пикс): 320x240; Основной дисплей: дисплей (""): 2.8; Корпус: моноблок ",Philips,графит,#Philips #графит #Премиум
1134,725709,Мобильный телефон LG K10,"7689,0",6,"Линейка K традиционно включает устройства бюджетного уровня, однако данный аппарат является самым продвинутым её представителем на начало 2016 года и по функционалу скорее близок к среднему уровню. Стоит учитывать, что смартфон LG K10 выпускается в двух модификациях. Более простая, с поддержкой сетей GSM и 3G, работает на четырёхъядерном процессоре и несёт 1 ГБ оперативной памяти и 8-Мп основную камеру, а в LTE-версии процессор имеет 8 ядер, дополнен 1,5 ГБ RAM, а камера обеспечивает целых 13 Мп. Из общих характеристик стоит упомянуть 5,3"" HD дисплей, ОС Android 6.0 и ряд интересных функций, включая съёмку селфи жестами и использование экрана в качестве вспышки. ",LG,пурпурный,#LG #пурпурный #Премиум
1135,725709,Мобильный телефон LG K10,"10 340,0",12,"Линейка K традиционно включает устройства бюджетного уровня, однако данный аппарат является самым продвинутым её представителем на начало 2016 года и по функционалу скорее близок к среднему уровню. Стоит учитывать, что смартфон LG K10 выпускается в двух модификациях. Более простая, с поддержкой сетей GSM и 3G, работает на четырёхъядерном процессоре и несёт 1 ГБ оперативной памяти и 8-Мп основную камеру, а в LTE-версии процессор имеет 8 ядер, дополнен 1,5 ГБ RAM, а камера обеспечивает целых 13 Мп. Из общих характеристик стоит упомянуть 5,3"" HD дисплей, ОС Android 6.0 и ряд интересных функций, включая съёмку селфи жестами и использование экрана в качестве вспышки. ",LG,золотистый,#LG #золотистый #Премиум
1136,725709,Мобильный телефон LG K10,"7 689,0",8,"Линейка K традиционно включает устройства бюджетного уровня, однако данный аппарат является самым продвинутым её представителем на начало 2016 года и по функционалу скорее близок к среднему уровню. Стоит учитывать, что смартфон LG K10 выпускается в двух модификациях. Более простая, с поддержкой сетей GSM и 3G, работает на четырёхъядерном процессоре и несёт 1 ГБ оперативной памяти и 8-Мп основную камеру, а в LTE-версии процессор имеет 8 ядер, дополнен 1,5 ГБ RAM, а камера обеспечивает целых 13 Мп. Из общих характеристик стоит упомянуть 5,3"" HD дисплей, ОС Android 6.0 и ряд интересных функций, включая съёмку селфи жестами и использование экрана в качестве вспышки. ",LG,черный,#LG #черный #Премиум
1137,725709,Мобильный телефон LG K10,"8 899,0",15,"Линейка K традиционно включает устройства бюджетного уровня, однако данный аппарат является самым продвинутым её представителем на начало 2016 года и по функционалу скорее близок к среднему уровню. Стоит учитывать, что смартфон LG K10 выпускается в двух модификациях. Более простая, с поддержкой сетей GSM и 3G, работает на четырёхъядерном процессоре и несёт 1 ГБ оперативной памяти и 8-Мп основную камеру, а в LTE-версии процессор имеет 8 ядер, дополнен 1,5 ГБ RAM, а камера обеспечивает целых 13 Мп. Из общих характеристик стоит упомянуть 5,3"" HD дисплей, ОС Android 6.0 и ряд интересных функций, включая съёмку селфи жестами и использование экрана в качестве вспышки. ",LG,белый,#LG #белый #Премиум
1138,725709,Мобильный телефон LG K10,"10 987,9",7,"Линейка K традиционно включает устройства бюджетного уровня, однако данный аппарат является самым продвинутым её представителем на начало 2016 года и по функционалу скорее близок к среднему уровню. Стоит учитывать, что смартфон LG K10 выпускается в двух модификациях. Более простая, с поддержкой сетей GSM и 3G, работает на четырёхъядерном процессоре и несёт 1 ГБ оперативной памяти и 8-Мп основную камеру, а в LTE-версии процессор имеет 8 ядер, дополнен 1,5 ГБ RAM, а камера обеспечивает целых 13 Мп. Из общих характеристик стоит упомянуть 5,3"" HD дисплей, ОС Android 6.0 и ряд интересных функций, включая съёмку селфи жестами и использование экрана в качестве вспышки. ",LG,синий,#LG #синий #Премиум
1139,50607,Мобильный телефон Nokia 8800 Sirocco,"16379,0",12,"Телефон премиум-класса, обновлённая и модифицированная версия модели Nokia 8800. От оригинальной версии отличается прежде всего своеобразным дизайном с изогнутыми линиями и тёмным цветом корпуса (сам корпус выполнен из металла), а с технической точки зрения — улучшенными характеристиками камеры (2 Мп) и увеличенным объёмом встроенной памяти. Цена при этом возросла более чем вдвое. В целом технические характеристики довольно скромны; с другой стороны, такие телефоны покупают прежде всего для поддержания имиджа, а не ради технических «наворотов». ",Nokia,пурпурный,#Nokia #пурпурный #Премиум
1140,50607,Мобильный телефон Nokia 8800 Sirocco,"16 379,0",8,"Телефон премиум-класса, обновлённая и модифицированная версия модели Nokia 8800. От оригинальной версии отличается прежде всего своеобразным дизайном с изогнутыми линиями и тёмным цветом корпуса (сам корпус выполнен из металла), а с технической точки зрения — улучшенными характеристиками камеры (2 Мп) и увеличенным объёмом встроенной памяти. Цена при этом возросла более чем вдвое. В целом технические характеристики довольно скромны; с другой стороны, такие телефоны покупают прежде всего для поддержания имиджа, а не ради технических «наворотов». ",Nokia,золотистый,#Nokia #золотистый #Премиум
1141,50607,Мобильный телефон Nokia 8800 Sirocco,"16 379,0",14,"Телефон премиум-класса, обновлённая и модифицированная версия модели Nokia 8800. От оригинальной версии отличается прежде всего своеобразным дизайном с изогнутыми линиями и тёмным цветом корпуса (сам корпус выполнен из металла), а с технической точки зрения — улучшенными характеристиками камеры (2 Мп) и увеличенным объёмом встроенной памяти. Цена при этом возросла более чем вдвое. В целом технические характеристики довольно скромны; с другой стороны, такие телефоны покупают прежде всего для поддержания имиджа, а не ради технических «наворотов». ",Nokia,серебристый,#Nokia #серебристый #Премиум
1142,50607,Мобильный телефон Nokia 8800 Sirocco,"16 379,0",14,"Телефон премиум-класса, обновлённая и модифицированная версия модели Nokia 8800. От оригинальной версии отличается прежде всего своеобразным дизайном с изогнутыми линиями и тёмным цветом корпуса (сам корпус выполнен из металла), а с технической точки зрения — улучшенными характеристиками камеры (2 Мп) и увеличенным объёмом встроенной памяти. Цена при этом возросла более чем вдвое. В целом технические характеристики довольно скромны; с другой стороны, такие телефоны покупают прежде всего для поддержания имиджа, а не ради технических «наворотов». ",Nokia,черный,#Nokia #черный #Премиум
1143,1298635,Мобильный телефон Huawei Honor 7X 64GB Dual Sim,"18689,0",9,Вес (г): 165; Размеры (мм): 156.5х75.3х7.6; Емкость (мАч): 3340; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Huawei,пурпурный,#Huawei #пурпурный #Премиум
1144,1298635,Мобильный телефон Huawei Honor 7X 64GB Dual Sim,"18 689,0",8,Вес (г): 165; Размеры (мм): 156.5х75.3х7.6; Емкость (мАч): 3340; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Huawei,золотистый,#Huawei #золотистый #Премиум
1145,1298635,Мобильный телефон Huawei Honor 7X 64GB Dual Sim,"18 689,0",4,Вес (г): 165; Размеры (мм): 156.5х75.3х7.6; Емкость (мАч): 3340; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Huawei,красный,#Huawei #красный #Премиум
1146,1298635,Мобильный телефон Huawei Honor 7X 64GB Dual Sim,"18 689,0",6,Вес (г): 165; Размеры (мм): 156.5х75.3х7.6; Емкость (мАч): 3340; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Huawei,черный,#Huawei #черный #Премиум
1147,1298635,Мобильный телефон Huawei Honor 7X 64GB Dual Sim,"18 689,0",2,Вес (г): 165; Размеры (мм): 156.5х75.3х7.6; Емкость (мАч): 3340; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Huawei,синий,#Huawei #синий #Премиум
1148,1060533,Мобильный телефон Sony Xperia XA1,"14652,0",12,Вес (г): 143; Размеры (мм): 145x67x8; Емкость (мАч): 2300; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; поддержка aptX; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K) ,Sony,пурпурный,#Sony #пурпурный #Премиум
1149,1060533,Мобильный телефон Sony Xperia XA1,"18 469,0",5,Вес (г): 143; Размеры (мм): 145x67x8; Емкость (мАч): 2300; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; поддержка aptX; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K) ,Sony,золотистый,#Sony #золотистый #Премиум
1150,1060533,Мобильный телефон Sony Xperia XA1,"14 652,0",3,Вес (г): 143; Размеры (мм): 145x67x8; Емкость (мАч): 2300; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; поддержка aptX; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K) ,Sony,розовый,#Sony #розовый #Премиум
1151,1060533,Мобильный телефон Sony Xperia XA1,"20 957,2",10,Вес (г): 143; Размеры (мм): 145x67x8; Емкость (мАч): 2300; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; поддержка aptX; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K) ,Sony,черный,#Sony #черный #Премиум
1152,1060533,Мобильный телефон Sony Xperia XA1,"15 169,0",11,Вес (г): 143; Размеры (мм): 145x67x8; Емкость (мАч): 2300; Аккумулятор: Li-Ion; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; поддержка aptX; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 3840x2160 (4K) ,Sony,белый,#Sony #белый #Премиум
1153,968559,Мобильный телефон Huawei Mate 9 Dual Sim,"30127,9",15,Вес (г): 190; Размеры (мм): 156.9х78.9х7.9; Емкость (мАч): 4000; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); USB C; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Оптическая стабилизация ,Huawei,пурпурный,#Huawei #пурпурный #Премиум
1154,968559,Мобильный телефон Huawei Mate 9 Dual Sim,"29 357,9",12,Вес (г): 190; Размеры (мм): 156.9х78.9х7.9; Емкость (мАч): 4000; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); USB C; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Оптическая стабилизация ,Huawei,золотистый,#Huawei #золотистый #Премиум
1155,968559,Мобильный телефон Huawei Mate 9 Dual Sim,"29 357,9",2,Вес (г): 190; Размеры (мм): 156.9х78.9х7.9; Емкость (мАч): 4000; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); USB C; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Оптическая стабилизация ,Huawei,коричневый,#Huawei #коричневый #Премиум
1156,968559,Мобильный телефон Huawei Mate 9 Dual Sim,"30 347,9",7,Вес (г): 190; Размеры (мм): 156.9х78.9х7.9; Емкость (мАч): 4000; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); USB C; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Оптическая стабилизация ,Huawei,черный,#Huawei #черный #Премиум
1157,968559,Мобильный телефон Huawei Mate 9 Dual Sim,"30 127,9",4,Вес (г): 190; Размеры (мм): 156.9х78.9х7.9; Емкость (мАч): 4000; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); USB C; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Оптическая стабилизация ,Huawei,бежевый,#Huawei #бежевый #Премиум
1158,1220404,Мобильный телефон Asus Zenfone 4 Max 16GB ZC520KL,"10373,0",6,Вес (г): 156; Размеры (мм): 150.5х73.3х8.8; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Asus,пурпурный,#Asus #пурпурный #Премиум
1159,1220404,Мобильный телефон Asus Zenfone 4 Max 16GB ZC520KL,"10 373,0",9,Вес (г): 156; Размеры (мм): 150.5х73.3х8.8; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Asus,золотистый,#Asus #золотистый #Премиум
1160,1220404,Мобильный телефон Asus Zenfone 4 Max 16GB ZC520KL,"10 373,0",6,Вес (г): 156; Размеры (мм): 150.5х73.3х8.8; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Asus,розовый,#Asus #розовый #Премиум
1161,1220404,Мобильный телефон Asus Zenfone 4 Max 16GB ZC520KL,"10 373,0",9,Вес (г): 156; Размеры (мм): 150.5х73.3х8.8; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Сдвоенная камера; Автофокус; Видео (основная): 1920х1080,Asus,черный,#Asus #черный #Премиум
1162,577391,Мобильный телефон LG G4 32GB,"36509,0",5,"Флагман средины 2015 года, прежде всего примечательный двумя характеристиками — производительный 6-ядерный процессор и большое количество вариантов корпуса, в том числе и с полностью кожаной задней крышкой. Новинка заполучила в своё распоряжение 5.5-дюймовый экран с разрешением 2560x1440, что соответствует плотности пикселей 534 ppi и обеспечивает высочайшую чёткость изображения. Имеет удачный изогнутый дизайн, благодаря которому удобно лежит в ладони. Объём встроенной памяти составляет 32 ГБ, но слот под карты памяти позволяет увеличить память ещё на 128 ГБ. Есть NFC-чип, но при этом не предусмотрен сканер отпечатка пальца, как у многих флагманов других производителей. Аккумулятор съёмный. Толщина корпуса — чуть менее 10 мм. ",LG,пурпурный,#LG #пурпурный #Премиум
1163,577391,Мобильный телефон LG G4 32GB,"13 145,0",6,"Флагман средины 2015 года, прежде всего примечательный двумя характеристиками — производительный 6-ядерный процессор и большое количество вариантов корпуса, в том числе и с полностью кожаной задней крышкой. Новинка заполучила в своё распоряжение 5.5-дюймовый экран с разрешением 2560x1440, что соответствует плотности пикселей 534 ppi и обеспечивает высочайшую чёткость изображения. Имеет удачный изогнутый дизайн, благодаря которому удобно лежит в ладони. Объём встроенной памяти составляет 32 ГБ, но слот под карты памяти позволяет увеличить память ещё на 128 ГБ. Есть NFC-чип, но при этом не предусмотрен сканер отпечатка пальца, как у многих флагманов других производителей. Аккумулятор съёмный. Толщина корпуса — чуть менее 10 мм. ",LG,коричневый,#LG #коричневый #Премиум
1164,577391,Мобильный телефон LG G4 32GB,"36 509,0",3,"Флагман средины 2015 года, прежде всего примечательный двумя характеристиками — производительный 6-ядерный процессор и большое количество вариантов корпуса, в том числе и с полностью кожаной задней крышкой. Новинка заполучила в своё распоряжение 5.5-дюймовый экран с разрешением 2560x1440, что соответствует плотности пикселей 534 ppi и обеспечивает высочайшую чёткость изображения. Имеет удачный изогнутый дизайн, благодаря которому удобно лежит в ладони. Объём встроенной памяти составляет 32 ГБ, но слот под карты памяти позволяет увеличить память ещё на 128 ГБ. Есть NFC-чип, но при этом не предусмотрен сканер отпечатка пальца, как у многих флагманов других производителей. Аккумулятор съёмный. Толщина корпуса — чуть менее 10 мм. ",LG,черный,#LG #черный #Премиум
1165,244263,Мобильный телефон Sony Xperia ZL,"6751,8",6,"Продвинутый смартфон, «почти флагман» линейки Sony на начало 2013 года. От старшей модели Xperia Z отличается отсутствием пылевлагозащиты, чуть увеличенной толщиной и более скромными показателями автономности. Остальные характеристики практически идентичны: 5"" дисплей на 1920х1080, четырёхъядерный 1,5-ГГц процессор, 2 Гб оперативной и 16 Гб встроенной памяти, 13-Мп основная камера с поддержкой Full HD и камера для видеозвонков. Коммуникации примечательны поддержкой Wi-Fi Direct и Hot-Spot, диапазона LTE, а также модулем NFC. ",Sony,пурпурный,#Sony #пурпурный #Премиум
