Id,Article ,ProductName,Price,Quantity ,Description ,Manufacturer ,Colour,Hashtags
10,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"22330,0",13,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,пурпурный,#Samsung #пурпурный #Премиум
11,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"22 330,0",8,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,золотистый,#Samsung #золотистый #Премиум
12,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"19 800,0",4,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,розовый,#Samsung #розовый #Премиум
13,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"30 052,0",11,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,серебристый,#Samsung #серебристый #Премиум
14,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"22 330,0",15,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,черный,#Samsung #черный #Премиум
15,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"22 330,0",7,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,белый,#Samsung #белый #Премиум
16,756658,Мобильный телефон Samsung Galaxy S7 Edge 32GB,"39 598,9",13,"Выпустив в 2015 году флагман S6 в двух версиях — обычной и с закруглёнными краями экрана — Samsung решили сохранить эту традицию и в 2016: данная модель является модификацией «обычного» S7. Однако, в отличие от предшественников, смартфон Samsung Galaxy S7 Edge получил более крупный, 5,5"" экран. Также из нововведений стоит отметить поддержку карт памяти, новейшую ОС Android 6.0, улучшенные характеристики основной камеры и пылевлагозащищённый корпус (IP68). Данная версия является младшей по объёму встроенной памяти — 32 ГБ; при этом, как и полагается флагману, аппарат имеет мощную «начинку» и весьма обширный функционал, как основной, так и дополнительный. ",Samsung,синий,#Samsung #синий #Премиум
17,916176,Мобильный телефон Apple iPhone 7 32GB,27720,6,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,пурпурный,#Apple #пурпурный #Премиум
18,916176,Мобильный телефон Apple iPhone 7 32GB,"27 720,0",12,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,золотистый,#Apple #золотистый #Премиум
19,916176,Мобильный телефон Apple iPhone 7 32GB,"27 901,5",9,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,красный,#Apple #красный #Премиум
